# bitches competitive policy: best response vs 1 expected-optimal opponents
# state = (a6,a8,a10,a12) dice in hand; g = penalty points already banked this game.
# U = expected win-share (probability of having the lowest score) from (state,g) under this policy.
# OPTIMAL MOVE at (state,g) for a roll: keep the subset K maximizing U[K][g + banked_penalty(K)].
# only reachable g (0..87-maxRemaining) are listed.
a6,a8,a10,a12,g,U
0,0,0,0,0,0.9991933883
0,0,0,0,1,0.9943011726
0,0,0,0,2,0.9787197941
0,0,0,0,3,0.9442314295
0,0,0,0,4,0.8849665962
0,0,0,0,5,0.8005688695
0,0,0,0,6,0.696533971
0,0,0,0,7,0.5822708367
0,0,0,0,8,0.4681537821
0,0,0,0,9,0.362838902
0,0,0,0,10,0.271806762
0,0,0,0,11,0.1972892907
0,0,0,0,12,0.1390557665
0,0,0,0,13,0.09536829948
0,0,0,0,14,0.06376599471
0,0,0,0,15,0.0416368759
0,0,0,0,16,0.02658255726
0,0,0,0,17,0.01660303454
0,0,0,0,18,0.01014362807
0,0,0,0,19,0.006056848948
0,0,0,0,20,0.00352971964
0,0,0,0,21,0.002004266707
0,0,0,0,22,0.00110714263
0,0,0,0,23,0.0005941709003
0,0,0,0,24,0.0003094966021
0,0,0,0,25,0.0001563722941
0,0,0,0,26,7.660362598e-05
0,0,0,0,27,3.637398761e-05
0,0,0,0,28,1.673444238e-05
0,0,0,0,29,7.454752732e-06
0,0,0,0,30,3.212493493e-06
0,0,0,0,31,1.33746338e-06
0,0,0,0,32,5.371166672e-07
0,0,0,0,33,2.076909172e-07
0,0,0,0,34,7.717489569e-08
0,0,0,0,35,2.750155933e-08
0,0,0,0,36,9.379216084e-09
0,0,0,0,37,3.055074797e-09
0,0,0,0,38,9.485742663e-10
0,0,0,0,39,2.802248447e-10
0,0,0,0,40,7.862702915e-11
0,0,0,0,41,2.092027916e-11
0,0,0,0,42,5.270463786e-12
0,0,0,0,43,1.255509103e-12
0,0,0,0,44,2.824376327e-13
0,0,0,0,45,5.992718482e-14
0,0,0,0,46,1.19784837e-14
0,0,0,0,47,2.25285207e-15
0,0,0,0,48,3.981805806e-16
0,0,0,0,49,6.605224758e-17
0,0,0,0,50,1.027008541e-17
0,0,0,0,51,1.494622438e-18
0,0,0,0,52,2.032941765e-19
0,0,0,0,53,2.580433796e-20
0,0,0,0,54,3.051733379e-21
0,0,0,0,55,3.357149024e-22
0,0,0,0,56,3.429402954e-23
0,0,0,0,57,3.24719886e-24
0,0,0,0,58,2.844581515e-25
0,0,0,0,59,2.30076717e-26
0,0,0,0,60,1.714490647e-27
0,0,0,0,61,1.174338197e-28
0,0,0,0,62,7.37466499e-30
0,0,0,0,63,4.23415664e-31
0,0,0,0,64,2.215738197e-32
0,0,0,0,65,1.05314757e-33
0,0,0,0,66,4.528789673e-35
0,0,0,0,67,1.754182259e-36
0,0,0,0,68,6.089430981e-38
0,0,0,0,69,1.883563465e-39
0,0,0,0,70,5.15704494e-41
0,0,0,0,71,1.240248227e-42
0,0,0,0,72,2.596850272e-44
0,0,0,0,73,4.685314879e-46
0,0,0,0,74,7.197404105e-48
0,0,0,0,75,9.282929913e-50
0,0,0,0,76,9.889178045e-52
0,0,0,0,77,8.53567e-54
0,0,0,0,78,5.83416666e-56
0,0,0,0,79,3.071858761e-58
0,0,0,0,80,1.20438885e-60
0,0,0,0,81,3.369083385e-63
0,0,0,0,82,6.364429719e-66
0,0,0,0,83,7.563848296e-69
0,0,0,0,84,5.183682155e-72
0,0,0,0,85,1.849725384e-75
0,0,0,0,86,3.004276657e-79
0,0,0,0,87,1.675652104e-83
0,0,0,1,0,0.6817395662
0,0,0,1,1,0.6100614311
0,0,0,1,2,0.5351503583
0,0,0,1,3,0.4589042084
0,0,0,1,4,0.3836879956
0,0,0,1,5,0.3121559923
0,0,0,1,6,0.2468255061
0,0,0,1,7,0.1896263108
0,0,0,1,8,0.1416084785
0,0,0,1,9,0.1028898066
0,0,0,1,10,0.07282025371
0,0,0,1,11,0.05026195209
0,0,0,1,12,0.03387069211
0,0,0,1,13,0.02230850295
0,0,0,1,14,0.01437417568
0,0,0,1,15,0.009066726427
0,0,0,1,16,0.005600017935
0,0,0,1,17,0.003386199366
0,0,0,1,18,0.002003234384
0,0,0,1,19,0.001158199752
0,0,0,1,20,0.000653573795
0,0,0,1,21,0.0003594752513
0,0,0,1,22,0.0001924703333
0,0,0,1,23,0.0001002148787
0,0,0,1,24,5.070292882e-05
0,0,0,1,25,2.491232691e-05
0,0,0,1,26,1.188155699e-05
0,0,0,1,27,5.498000542e-06
0,0,0,1,28,2.46685826e-06
0,0,0,1,29,1.072327947e-06
0,0,0,1,30,4.511002959e-07
0,0,0,1,31,1.83392944e-07
0,0,0,1,32,7.19377669e-08
0,0,0,1,33,2.717806816e-08
0,0,0,1,34,9.870496721e-09
0,0,0,1,35,3.439256412e-09
0,0,0,1,36,1.147459989e-09
0,0,0,1,37,3.658586819e-10
0,0,0,1,38,1.112691211e-10
0,0,0,1,39,3.222126638e-11
0,0,0,1,40,8.869196112e-12
0,0,0,1,41,2.3169437e-12
0,0,0,1,42,5.735871058e-13
0,0,0,1,43,1.343817905e-13
0,0,0,1,44,2.975603194e-14
0,0,0,1,45,6.219562553e-15
0,0,0,1,46,1.225630485e-15
0,0,0,1,47,2.274235108e-16
0,0,0,1,48,3.968583832e-17
0,0,0,1,49,6.50412327e-18
0,0,0,1,50,9.997693055e-19
0,0,0,1,51,1.439288543e-19
0,0,0,1,52,1.937698444e-20
0,0,0,1,53,2.435803064e-21
0,0,0,1,54,2.854415679e-22
0,0,0,1,55,3.113045303e-23
0,0,0,1,56,3.154211164e-24
0,0,0,1,57,2.963753691e-25
0,0,0,1,58,2.577546409e-26
0,0,0,1,59,2.070618126e-27
0,0,0,1,60,1.533121504e-28
0,0,0,1,61,1.043792983e-29
0,0,0,1,62,6.517781907e-31
0,0,0,1,63,3.722277487e-32
0,0,0,1,64,1.938136204e-33
0,0,0,1,65,9.168770663e-35
0,0,0,1,66,3.925409141e-36
0,0,0,1,67,1.514177474e-37
0,0,0,1,68,5.235892535e-39
0,0,0,1,69,1.613667173e-40
0,0,0,1,70,4.403095163e-42
0,0,0,1,71,1.055577127e-43
0,0,0,1,72,2.203693787e-45
0,0,0,1,73,3.965189324e-47
0,0,0,1,74,6.076025764e-49
0,0,0,1,75,7.818900938e-51
0,0,0,1,76,8.312601038e-53
0,0,1,0,0,0.7711778742
0,0,1,0,1,0.6984392116
0,0,1,0,2,0.6187380234
0,0,1,0,3,0.5347716206
0,0,1,0,4,0.4498853076
0,0,1,0,5,0.3677652475
0,0,1,0,6,0.2918720481
0,0,1,0,7,0.2248769067
0,0,1,0,8,0.1683101265
0,0,1,0,9,0.1225091111
0,0,1,0,10,0.08683090581
0,0,1,0,11,0.06000320158
0,0,1,0,12,0.04047469918
0,0,1,0,13,0.02667983679
0,0,1,0,14,0.01720242393
0,0,1,0,15,0.01085677412
0,0,1,0,16,0.00670872376
0,0,1,0,17,0.004058128396
0,0,1,0,18,0.002401462341
0,0,1,0,19,0.001388772978
0,0,1,0,20,0.0007838335583
0,0,1,0,21,0.0004311828436
0,0,1,0,22,0.0002308899192
0,0,1,0,23,0.0001202293679
0,0,1,0,24,6.083304694e-05
0,0,1,0,25,2.989110422e-05
0,0,1,0,26,1.425662496e-05
0,0,1,0,27,6.597200286e-06
0,0,1,0,28,2.960107032e-06
0,0,1,0,29,1.286757651e-06
0,0,1,0,30,5.413104003e-07
0,0,1,0,31,2.200689137e-07
0,0,1,0,32,8.632466768e-08
0,0,1,0,33,3.2613528e-08
0,0,1,0,34,1.184456183e-08
0,0,1,0,35,4.127100504e-09
0,0,1,0,36,1.376950564e-09
0,0,1,0,37,4.390301532e-10
0,0,1,0,38,1.335228988e-10
0,0,1,0,39,3.866551202e-11
0,0,1,0,40,1.064303416e-11
0,0,1,0,41,2.78033227e-12
0,0,1,0,42,6.88304504e-13
0,0,1,0,43,1.612581457e-13
0,0,1,0,44,3.570723799e-14
0,0,1,0,45,7.463475027e-15
0,0,1,0,46,1.470756579e-15
0,0,1,0,47,2.729082126e-16
0,0,1,0,48,4.762300595e-17
0,0,1,0,49,7.804947922e-18
0,0,1,0,50,1.199723166e-18
0,0,1,0,51,1.727146252e-19
0,0,1,0,52,2.325238133e-20
0,0,1,0,53,2.922963677e-21
0,0,1,0,54,3.425298815e-22
0,0,1,0,55,3.735654364e-23
0,0,1,0,56,3.785053397e-24
0,0,1,0,57,3.556504429e-25
0,0,1,0,58,3.093055691e-26
0,0,1,0,59,2.484741751e-27
0,0,1,0,60,1.839745805e-28
0,0,1,0,61,1.25255158e-29
0,0,1,0,62,7.821338288e-31
0,0,1,0,63,4.466732985e-32
0,0,1,0,64,2.325763445e-33
0,0,1,0,65,1.10025248e-34
0,0,1,0,66,4.71049097e-36
0,0,1,0,67,1.817012969e-37
0,0,1,0,68,6.283071042e-39
0,0,1,0,69,1.936400607e-40
0,0,1,0,70,5.283714195e-42
0,0,1,0,71,1.266692553e-43
0,0,1,0,72,2.644432544e-45
0,0,1,0,73,4.758227188e-47
0,0,1,0,74,7.291230917e-49
0,0,1,0,75,9.382681125e-51
0,0,1,0,76,9.975121245e-53
0,0,1,0,77,8.594320061e-55
0,0,1,0,78,5.865006024e-57
0,0,1,1,0,0.5337021446
0,0,1,1,1,0.4616683528
0,0,1,1,2,0.3905567493
0,0,1,1,3,0.3223995797
0,0,1,1,4,0.2594575462
0,0,1,1,5,0.2033776012
0,0,1,1,6,0.1552579979
0,0,1,1,7,0.1154141065
0,0,1,1,8,0.08362001665
0,0,1,1,9,0.05909943119
0,0,1,1,10,0.04076575376
0,0,1,1,11,0.02747586763
0,0,1,1,12,0.01811290155
0,0,1,1,13,0.0116898781
0,0,1,1,14,0.007391324289
0,0,1,1,15,0.004577325739
0,0,1,1,16,0.00277605267
0,0,1,1,17,0.001648369216
0,0,1,1,18,0.0009576151435
0,0,1,1,19,0.0005438714083
0,0,1,1,20,0.0003013806748
0,0,1,1,21,0.0001627467497
0,0,1,1,22,8.55504178e-05
0,0,1,1,23,4.373904425e-05
0,0,1,1,24,2.173518333e-05
0,0,1,1,25,1.049237113e-05
0,0,1,1,26,4.918001965e-06
0,0,1,1,27,2.237014247e-06
0,0,1,1,28,9.867748337e-07
0,0,1,1,29,4.218156716e-07
0,0,1,1,30,1.745894678e-07
0,0,1,1,31,6.990004653e-08
0,0,1,1,32,2.699972922e-08
0,0,1,1,33,1.004777095e-08
0,0,1,1,34,3.598713467e-09
0,0,1,1,35,1.236969e-09
0,0,1,1,36,4.071464611e-10
0,0,1,1,37,1.280857097e-10
0,0,1,1,38,3.844275668e-11
0,0,1,1,39,1.09884256e-11
0,0,1,1,40,2.98641756e-12
0,0,1,1,41,7.705351027e-13
0,0,1,1,42,1.884679171e-13
0,0,1,1,43,4.364145727e-14
0,0,1,1,44,9.554760001e-15
0,0,1,1,45,1.975413668e-15
0,0,1,1,46,3.85193207e-16
0,0,1,1,47,7.075236799e-17
0,0,1,1,48,1.222618321e-17
0,0,1,1,49,1.984971158e-18
0,0,1,1,50,3.023660635e-19
0,0,1,1,51,4.315233135e-20
0,0,1,1,52,5.761279908e-21
0,0,1,1,53,7.185168686e-22
0,0,1,1,54,8.363389704e-23
0,0,1,1,55,9.075804973e-24
0,0,1,1,56,9.152426586e-25
0,0,1,1,57,8.571246496e-26
0,0,1,1,58,7.437205295e-27
0,0,1,1,59,5.961785581e-28
0,0,1,1,60,4.405472213e-29
0,0,1,1,61,2.993859634e-30
0,0,1,1,62,1.866272824e-31
0,0,1,1,63,1.064131143e-32
0,0,1,1,64,5.532618975e-34
0,0,1,1,65,2.613743891e-35
0,0,1,1,66,1.117595025e-36
0,0,1,1,67,4.305892395e-38
0,1,0,0,0,0.8600982572
0,1,0,0,1,0.7937183065
0,1,0,0,2,0.7147855226
0,1,0,0,3,0.6264213936
0,1,0,0,4,0.5330536263
0,1,0,0,5,0.4398147726
0,1,0,0,6,0.3516647013
0,1,0,0,7,0.2725687043
0,1,0,0,8,0.2049894592
0,1,0,0,9,0.1497930561
0,1,0,0,10,0.1065135726
0,1,0,0,11,0.0738056809
0,1,0,0,12,0.04990162568
0,1,0,0,13,0.03296086982
0,1,0,0,14,0.02129036572
0,1,0,0,15,0.01345800921
0,1,0,0,16,0.008327671088
0,1,0,0,17,0.005043538505
0,1,0,0,18,0.002987705724
0,1,0,0,19,0.001729327668
0,1,0,0,20,0.0009767682984
0,1,0,0,21,0.0005376451487
0,1,0,0,22,0.0002880436544
0,1,0,0,23,0.0001500523873
0,1,0,0,24,7.594820772e-05
0,1,0,0,25,3.732827205e-05
0,1,0,0,26,1.780769665e-05
0,1,0,0,27,8.24189026e-06
0,1,0,0,28,3.698579503e-06
0,1,0,0,29,1.607946608e-06
0,1,0,0,30,6.764844005e-07
0,1,0,0,31,2.750412856e-07
0,1,0,0,32,1.078933912e-07
0,1,0,0,33,4.076363616e-08
0,1,0,0,34,1.480488654e-08
0,1,0,0,35,5.158683387e-09
0,1,0,0,36,1.721145409e-09
0,1,0,0,37,5.487787033e-10
0,1,0,0,38,1.669018446e-10
0,1,0,0,39,4.833155865e-11
0,1,0,0,40,1.330373467e-11
0,1,0,0,41,3.475405797e-12
0,1,0,0,42,8.603791594e-13
0,1,0,0,43,2.015724699e-13
0,1,0,0,44,4.463401885e-14
0,1,0,0,45,9.329340177e-15
0,1,0,0,46,1.8384453e-15
0,1,0,0,47,3.411352195e-16
0,1,0,0,48,5.952875275e-17
0,1,0,0,49,9.756184461e-18
0,1,0,0,50,1.49965392e-18
0,1,0,0,51,2.158932784e-19
0,1,0,0,52,2.906547643e-20
0,1,0,0,53,3.653704581e-21
0,1,0,0,54,4.281623509e-22
0,1,0,0,55,4.66956795e-23
0,1,0,0,56,4.731316743e-24
0,1,0,0,57,4.445630535e-25
0,1,0,0,58,3.866319613e-26
0,1,0,0,59,3.105927188e-27
0,1,0,0,60,2.299682256e-28
0,1,0,0,61,1.565689475e-29
0,1,0,0,62,9.77667286e-31
0,1,0,0,63,5.583416231e-32
0,1,0,0,64,2.907204306e-33
