# biscuits competitive policy: best response vs 2 expected-optimal opponents
# state = (a6,a8,a10,a12) dice in hand; g = penalty points already banked this game.
# U = expected win-share (probability of having the lowest score) from (state,g) under this policy.
# OPTIMAL MOVE at (state,g) for a roll: keep the subset K maximizing U[K][g + banked_penalty(K)].
# only reachable g (0..87-maxRemaining) are listed.
a6,a8,a10,a12,g,U
0,0,0,0,0,0.9983876441
0,0,0,0,1,0.9886403858
0,0,0,0,2,0.9579364862
0,0,0,0,3,0.8917492123
0,0,0,0,4,0.783604435
0,0,0,0,5,0.6416825355
0,0,0,0,6,0.486201527
0,0,0,0,7,0.3401743795
0,0,0,0,8,0.2202044802
0,0,0,0,9,0.1324705207
0,0,0,0,10,0.07445246246
0,0,0,0,11,0.03928687594
0,0,0,0,12,0.0195481299
0,0,0,0,13,0.009209082678
0,0,0,0,14,0.004123405766
0,0,0,0,15,0.001760735338
0,0,0,0,16,0.0007187795409
0,0,0,0,17,0.0002808427447
0,0,0,0,18,0.0001050042306
0,0,0,0,19,3.750727231e-05
0,0,0,0,20,1.276415227e-05
0,0,0,0,21,4.124828521e-06
0,0,0,0,22,1.261755369e-06
0,0,0,0,23,3.643712085e-07
0,0,0,0,24,9.914104446e-08
0,0,0,0,25,2.538267543e-08
0,0,0,0,26,6.109989971e-09
0,0,0,0,27,1.381961532e-09
0,0,0,0,28,2.934709854e-10
0,0,0,0,29,5.843963309e-11
0,0,0,0,30,1.089203756e-11
0,0,0,0,31,1.895275515e-12
0,0,0,0,32,3.069324883e-13
0,0,0,0,33,4.609561779e-14
0,0,0,0,34,6.39472679e-15
0,0,0,0,35,8.161236297e-16
0,0,0,0,36,9.54262994e-17
0,0,0,0,37,1.01809241e-17
0,0,0,0,38,9.871857844e-19
0,0,0,0,39,8.667089017e-20
0,0,0,0,40,6.865682169e-21
0,0,0,0,41,4.891200731e-22
0,0,0,0,42,3.124380337e-23
0,0,0,0,43,1.784523332e-24
0,0,0,0,44,9.089947982e-26
0,0,0,0,45,4.119115086e-27
0,0,0,0,46,1.656517952e-28
0,0,0,0,47,5.897691861e-30
0,0,0,0,48,1.854307388e-31
0,0,0,0,49,5.135413136e-33
0,0,0,0,50,1.249378854e-34
0,0,0,0,51,2.662660208e-36
0,0,0,0,52,4.956372282e-38
0,0,0,0,53,8.033582413e-40
0,0,0,0,54,1.13023681e-41
0,0,0,0,55,1.375648128e-43
0,0,0,0,56,1.44352966e-45
0,0,0,0,57,1.301241041e-47
0,0,0,0,58,1.003814871e-49
0,0,0,0,59,6.600278522e-52
0,0,0,0,60,3.683059771e-54
0,0,0,0,61,1.736069481e-56
0,0,0,0,62,6.877455012e-59
0,0,0,0,63,2.276983118e-61
0,0,0,0,64,6.261329138e-64
0,0,0,0,65,1.420147345e-66
0,0,0,0,66,2.636131405e-69
0,0,0,0,67,3.96938623e-72
0,0,0,0,68,4.799794263e-75
0,0,0,0,69,4.607331804e-78
0,0,0,0,70,3.464456134e-81
0,0,0,0,71,2.009641559e-84
0,0,0,0,72,8.834580092e-88
0,0,0,0,73,2.883240903e-91
0,0,0,0,74,6.819998495e-95
0,0,0,0,75,1.136963529e-98
0,0,0,0,76,1.292862148e-102
0,0,0,0,77,9.648754276e-107
0,0,0,0,78,4.514656029e-111
0,0,0,0,79,1.253275555e-115
0,0,0,0,80,1.928685038e-120
0,0,0,0,81,1.510579525e-125
0,0,0,0,82,5.394388824e-131
0,0,0,0,83,7.623017774e-137
0,0,0,0,84,3.581463636e-143
0,0,0,0,85,4.561237877e-150
0,0,0,0,86,1.203356646e-157
0,0,0,0,87,3.743746631e-166
0,0,0,1,0,0.5462325787
