# biscuits: expected-optimal (mean-minimizing) value function V.
# state = dice still in hand (a6 d6 in 0..12; a8/a10/a12 each 0/1). V = optimal expected remaining score.
# OPTIMAL MOVE for a roll: keep the subset K of your dice maximizing (sum of kept penalties) - V[K].
a6,a8,a10,a12,V
0,0,0,0,0
0,0,0,1,5.5
0,0,1,0,4.5
0,0,1,1,7.708333333
0,1,0,0,3.5
0,1,0,1,6.895833333
0,1,1,0,6.125
0,1,1,1,8.550976563
1,0,0,0,2.5
1,0,0,1,6.069444444
1,0,1,0,5.308333333
1,0,1,1,7.833287037
1,1,0,0,4.541666667
1,1,0,1,7.174647955
1,1,1,0,6.539253472
1,1,1,1,8.573084206
2,0,0,0,3.763888889
2,0,0,1,6.494148663
2,0,1,0,5.864699074
2,0,1,1,7.963352287
2,1,0,0,5.230709877
2,1,0,1,7.396485587
2,1,1,0,6.846650527
2,1,1,1,8.593010794
3,0,0,0,4.575102881
3,0,0,1,6.813119363
3,0,1,0,6.26735873
3,0,1,1,8.055806922
3,1,0,0,5.715581865
3,1,0,1,7.552429914
3,1,1,0,7.066147343
3,1,1,1,8.592870602
4,0,0,0,5.156359549
4,0,0,1,7.034565388
4,0,1,0,6.552550506
4,0,1,1,8.11193192
4,1,0,0,6.059116016
4,1,0,1,7.653541774
4,1,1,0,7.213446703
4,1,1,1,8.573813507
5,0,0,0,5.56394515
5,0,0,1,7.185523351
5,0,1,0,6.748791252
5,0,1,1,8.137301783
5,1,0,0,6.299674696
5,1,0,1,7.710215194
5,1,1,0,7.306790866
5,1,1,1,8.538483592
6,0,0,0,5.848023287
6,0,0,1,7.282981547
6,0,1,0,6.881064587
6,0,1,1,8.14146932
6,1,0,0,6.464253952
6,1,0,1,7.737287021
6,1,1,0,7.364937012
6,1,1,1,8.490990478
7,0,0,0,6.047841278
7,0,0,1,7.343996258
7,0,1,0,6.971837376
7,0,1,1,8.130606083
7,1,0,0,6.57661781
7,1,0,1,7.745438989
7,1,1,0,7.396423067
7,1,1,1,8.435384151
8,0,0,0,6.190306641
8,0,0,1,7.38083384
8,0,1,0,7.031906525
8,0,1,1,8.107575077
8,1,0,0,6.653509957
8,1,0,1,7.741656624
8,1,1,0,7.409455422
8,1,1,1,8.374634661
9,0,0,0,6.293241116
9,0,0,1,7.401583694
9,0,1,0,7.069628163
9,0,1,1,8.074244209
9,1,0,0,6.706073895
9,1,0,1,7.729664529
9,1,1,0,7.410273715
9,1,1,1,8.309380783
10,0,0,0,6.368486536
10,0,0,1,7.411560978
10,0,1,0,7.091832934
10,0,1,1,8.033982316
10,1,0,0,6.741743347
10,1,0,1,7.709702189
10,1,1,0,7.40316992
10,1,1,1,8.23875622
11,0,0,0,6.424045142
11,0,0,1,7.414177469
11,0,1,0,7.10340226
11,0,1,1,7.987612425
11,1,0,0,6.765562302
11,1,0,1,7.682885221
11,1,1,0,7.38848128
11,1,1,1,8.164381721
12,0,0,0,6.465423116
12,0,0,1,7.411519141
12,0,1,0,7.107688202
12,0,1,1,7.936058175
12,1,0,0,6.781008491
12,1,0,1,7.650052017
12,1,1,0,7.366580544
12,1,1,1,8.087931549
